2,123456789012,eni-4bfb8b73,119.214.102.76,124.26.183.249,5091,16592,2,16,46352,1737234151,1737235153,ACCEPT,OK
2,123456789012,eni-cd948a7f,173.135.204.215,54.58.145.36,7229,9713,1,2,9053,1737234259,1737234898,REJECT,OK
2,123456789012,eni-faca6b60,85.137.228.26,215.62.184.153,49928,17254,6,24,24166,1737234105,1737234855,ACCEPT,OK
2,123456789012,eni-7d178c9b,67.161.243.182,100.243.49.3,29518,18772,5,14,45074,1737233258,1737235153,REJECT,OK
2,123456789012,eni-6bdec8bf,33.80.19.243,45.74.253.167,65147,55541,5,29,42706,1737232382,1737235140,ACCEPT,OK
2,123456789012,eni-8c67a79a,85.251.251.111,14.54.55.209,49766,35698,6,43,28141,1737233062,1737235054,ACCEPT,OK
2,123456789012,eni-7f81e15f,128.129.251.10,100.159.105.32,46096,31266,27,36,36831,1737232111,1737235311,ACCEPT,OK
2,123456789012,eni-18e0a300,4.70.117.1,22.15.87.101,60225,55236,8,29,33142,1737232393,1737234967,REJECT,OK
2,123456789012,eni-c9e99dc6,13.217.189.245,31.207.215.238,41864,42639,2,1,27580,1737231553,1737235245,ACCEPT,OK
2,123456789012,eni-6203e9c1,20.80.198.45,69.107.235.226,65124,57662,17,1,10196,1737234332,1737235237,REJECT,OK
2,123456789012,eni-08b5498e,148.123.200.140,214.27.104.114,57111,41038,17,1,45919,1737233599,1737234854,ACCEPT,OK
2,123456789012,eni-fa7ef00a,44.69.61.47,135.70.138.60,18107,44135,48,1,40088,1737232823,1737235188,ACCEPT,OK
2,123456789012,eni-4616d28f,181.133.76.69,75.189.47.216,37042,49247,8,28,2554,1737231114,1737234898,REJECT,OK
2,123456789012,eni-957e322c,168.17.193.57,78.245.238.194,59215,57064,6,45,26184,1737234127,1737234933,REJECT,OK
2,123456789012,eni-8b7a5376,101.108.234.7,90.119.97.119,64248,61651,6,15,41493,1737231696,1737235173,REJECT,OK
2,123456789012,eni-0fbff25a,106.152.93.253,77.206.22.109,11752,55635,2,13,32052,1737232997,1737234993,REJECT,OK
2,123456789012,eni-2124ee9d,190.220.63.81,20.224.238.193,19585,34868,8,2,24180,1737234493,1737235333,REJECT,OK
2,123456789012,eni-7fb22ad8,42.29.134.126,198.102.249.251,58648,36745,15,2,25016,1737231009,1737235179,ACCEPT,OK
2,123456789012,eni-74c6bd26,244.228.79.186,5.112.151.220,39873,58869,27,40,13428,1737231980,1737234991,REJECT,OK
